"Date","Price","Open","High","Low","Change %"
"12/31/2025","1.862","1.933","1.933","1.845","-0.53%"
"12/30/2025","1.872","1.900","1.900","1.846","0.27%"
"12/29/2025","1.867","1.833","1.867","1.833","2.08%"
"12/26/2025","1.829","1.848","1.848","1.823","-0.71%"
"12/25/2025","1.842","1.850","1.865","1.838","-0.65%"
"12/24/2025","1.854","1.868","1.868","1.831","-0.59%"
"12/23/2025","1.865","1.890","1.890","1.828","0.59%"
"12/22/2025","1.854","1.835","1.856","1.832","1.76%"
"12/19/2025","1.822","1.845","1.845","1.816","1.33%"
"12/18/2025","1.798","1.868","1.868","1.784","-2.55%"
"12/17/2025","1.845","1.880","1.880","1.837","2.79%"
"12/16/2025","1.795","1.850","1.871","1.792","0.00%"
"12/15/2025","1.795","1.840","1.880","1.784","-2.92%"
"12/12/2025","1.849","1.860","1.860","1.816","-0.16%"
"12/11/2025","1.852","1.890","1.890","1.838","-0.27%"
"12/10/2025","1.857","1.890","1.890","1.844","-0.75%"
"12/09/2025","1.871","1.900","1.900","1.841","-0.21%"
"12/08/2025","1.875","1.873","1.875","1.850","0.91%"
"12/05/2025","1.858","1.900","1.900","1.832","-0.21%"
"12/04/2025","1.862","1.880","1.880","1.847","1.09%"
"12/03/2025","1.842","1.874","1.880","1.828","-0.11%"
"12/02/2025","1.844","1.877","1.877","1.827","0.22%"
"12/01/2025","1.840","1.870","1.870","1.826","0.44%"
"11/28/2025","1.832","1.885","1.885","1.830","-0.92%"
"11/27/2025","1.849","1.914","1.914","1.836","0.87%"
"11/26/2025","1.833","1.870","1.870","1.820","0.60%"
"11/25/2025","1.822","1.853","1.853","1.814","-0.22%"
"11/24/2025","1.826","1.860","1.860","1.810","0.27%"
"11/21/2025","1.821","1.810","1.835","1.809","-0.11%"
"11/20/2025","1.823","1.807","1.834","1.807","0.39%"
"11/19/2025","1.816","1.805","1.844","1.805","0.11%"
"11/18/2025","1.814","1.850","1.850","1.802","-0.06%"
"11/17/2025","1.815","1.805","1.815","1.802","0.44%"
"11/14/2025","1.807","1.845","1.845","1.803","-0.39%"
"11/13/2025","1.814","1.849","1.849","1.804","-0.11%"
"11/12/2025","1.816","1.850","1.850","1.800","-0.49%"
"11/11/2025","1.825","1.807","1.834","1.804","0.61%"
"11/10/2025","1.814","1.848","1.848","1.802","3.19%"
"11/07/2025","1.758","1.786","1.786","1.745","0.11%"
"11/06/2025","1.756","1.790","1.790","1.737","0.63%"
"11/05/2025","1.745","1.739","1.780","1.731","-0.11%"
"11/04/2025","1.747","1.777","1.777","1.738","-0.57%"
"11/03/2025","1.757","1.780","1.780","1.734","-0.40%"
"10/31/2025","1.764","1.790","1.790","1.743","0.11%"
"10/30/2025","1.762","1.807","1.807","1.753","-0.23%"
"10/29/2025","1.766","1.812","1.812","1.753","-0.39%"
"10/28/2025","1.773","1.743","1.785","1.743","-0.45%"
"10/27/2025","1.781","1.829","1.829","1.781","-0.45%"
"10/24/2025","1.789","1.823","1.823","1.777","0.45%"
"10/23/2025","1.781","1.810","1.810","1.766","0.11%"
"10/22/2025","1.779","1.810","1.810","1.760","0.11%"
"10/21/2025","1.777","1.817","1.817","1.767","0.06%"
"10/20/2025","1.776","1.796","1.796","1.754","0.74%"
"10/17/2025","1.763","1.803","1.803","1.747","-0.34%"
"10/16/2025","1.769","1.810","1.810","1.753","-0.28%"
"10/15/2025","1.774","1.795","1.795","1.755","0.28%"
"10/14/2025","1.769","1.810","1.810","1.751","-0.11%"
"10/13/2025","1.771","1.792","1.792","1.749","-4.63%"
"10/11/2025","1.857","1.892","1.892","1.823","-0.21%"
"10/10/2025","1.861","1.892","1.892","1.844","-3.32%"
"10/09/2025","1.925","1.910","1.925","1.846","2.50%"
"09/30/2025","1.878","1.940","1.940","1.858","-0.90%"
"09/29/2025","1.895","1.925","1.925","1.875","-0.58%"
"09/28/2025","1.906","1.880","1.906","1.880","-0.42%"
"09/26/2025","1.914","1.930","1.963","1.878","0.58%"
"09/25/2025","1.903","1.950","1.950","1.888","0.00%"
"09/24/2025","1.903","1.930","1.930","1.883","0.90%"
"09/23/2025","1.886","1.910","1.910","1.873","0.27%"
"09/22/2025","1.881","1.875","1.903","1.869","0.48%"
"09/19/2025","1.872","1.900","1.900","1.851","0.32%"
"09/18/2025","1.866","1.882","1.882","1.843","-0.21%"
"09/17/2025","1.870","1.900","1.900","1.849","-0.48%"
"09/16/2025","1.879","1.920","1.920","1.853","-0.53%"
"09/15/2025","1.889","1.920","1.920","1.865","3.96%"
"09/12/2025","1.817","1.850","1.850","1.795","0.33%"
