"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","5,796.22","5,748.97","5,802.99","5,746.36","","0.77%"
"12/29/2025","5,751.71","5,752.16","5,766.30","5,734.91","","0.04%"
"12/23/2025","5,749.28","5,742.56","5,754.53","5,729.34","","0.10%"
"12/22/2025","5,743.69","5,754.39","5,770.99","5,733.79","","-0.29%"
"12/19/2025","5,760.35","5,742.14","5,772.35","5,728.65","","0.32%"
"12/18/2025","5,741.71","5,684.00","5,746.98","5,679.61","","1.06%"
"12/17/2025","5,681.67","5,735.21","5,745.87","5,678.53","","-0.63%"
"12/16/2025","5,717.83","5,755.82","5,757.35","5,710.21","","-0.60%"
"12/15/2025","5,752.52","5,724.16","5,763.21","5,724.16","","0.56%"
"12/12/2025","5,720.71","5,766.84","5,794.70","5,718.97","","-0.58%"
"12/11/2025","5,753.96","5,707.76","5,770.19","5,684.93","","0.80%"
"12/10/2025","5,708.12","5,710.70","5,722.77","5,692.59","","-0.18%"
"12/09/2025","5,718.32","5,724.71","5,753.48","5,708.53","","-0.13%"
"12/08/2025","5,725.59","5,717.65","5,734.73","5,711.00","","0.03%"
"12/05/2025","5,723.93","5,726.64","5,749.06","5,723.91","","0.10%"
"12/04/2025","5,718.08","5,709.83","5,731.94","5,704.44","","0.41%"
"12/03/2025","5,694.56","5,696.25","5,725.32","5,676.92","","0.15%"
"12/02/2025","5,686.17","5,667.41","5,710.83","5,665.29","","0.33%"
"12/01/2025","5,667.48","5,659.91","5,672.08","5,622.95","","-0.01%"
"11/28/2025","5,668.17","5,655.16","5,676.82","5,641.33","","0.27%"
"11/27/2025","5,653.17","5,650.47","5,665.02","5,638.39","","-0.04%"
"11/26/2025","5,655.58","5,583.82","5,655.58","5,583.82","","1.47%"
"11/25/2025","5,573.91","5,528.61","5,581.92","5,510.48","","0.82%"
"11/24/2025","5,528.67","5,523.63","5,562.01","5,504.96","","0.25%"
"11/21/2025","5,515.09","5,537.67","5,539.49","5,473.88","","-0.98%"
"11/20/2025","5,569.92","5,569.47","5,625.21","5,569.47","","0.50%"
"11/19/2025","5,542.05","5,532.91","5,584.35","5,506.10","","0.13%"
"11/18/2025","5,534.71","5,610.75","5,610.75","5,509.10","","-1.88%"
"11/17/2025","5,640.94","5,692.13","5,701.64","5,629.34","","-0.93%"
"11/14/2025","5,693.77","5,731.16","5,731.16","5,631.18","","-0.85%"
"11/13/2025","5,742.79","5,795.92","5,818.07","5,740.97","","-0.77%"
"11/12/2025","5,787.31","5,734.68","5,804.66","5,734.68","","1.08%"
"11/11/2025","5,725.70","5,670.94","5,730.99","5,670.94","","1.08%"
"11/10/2025","5,664.46","5,608.67","5,677.49","5,608.67","","1.76%"
"11/07/2025","5,566.53","5,617.82","5,633.75","5,554.53","","-0.80%"
"11/06/2025","5,611.18","5,665.59","5,672.37","5,606.57","","-1.02%"
"11/05/2025","5,669.13","5,619.21","5,681.61","5,605.47","","0.16%"
"11/04/2025","5,660.20","5,646.20","5,660.61","5,577.21","","-0.34%"
"11/03/2025","5,679.25","5,664.18","5,705.77","5,656.15","","0.30%"
"10/31/2025","5,662.04","5,695.85","5,697.59","5,654.30","","-0.65%"
"10/30/2025","5,699.18","5,702.77","5,716.02","5,667.10","","-0.12%"
"10/29/2025","5,705.81","5,701.24","5,734.28","5,691.82","","0.03%"
"10/28/2025","5,704.35","5,696.05","5,712.17","5,686.58","","-0.12%"
"10/27/2025","5,711.06","5,691.89","5,712.78","5,684.66","","0.64%"
"10/24/2025","5,674.50","5,685.52","5,694.78","5,650.42","","0.11%"
"10/23/2025","5,668.33","5,651.90","5,673.11","5,639.82","","0.52%"
"10/22/2025","5,639.21","5,672.24","5,685.30","5,635.90","","-0.84%"
"10/21/2025","5,686.83","5,686.77","5,699.13","5,670.65","","0.10%"
"10/20/2025","5,680.93","5,626.25","5,688.17","5,626.25","","1.31%"
"10/17/2025","5,607.39","5,618.48","5,640.56","5,555.25","","-0.79%"
"10/16/2025","5,652.01","5,604.34","5,652.11","5,585.95","","0.84%"
"10/15/2025","5,605.03","5,566.97","5,639.95","5,566.97","","0.95%"
"10/14/2025","5,552.05","5,552.49","5,553.22","5,487.67","","-0.29%"
"10/13/2025","5,568.19","5,540.54","5,591.29","5,540.54","","0.67%"
"10/10/2025","5,531.32","5,628.83","5,648.59","5,529.63","","-1.68%"
"10/09/2025","5,625.56","5,651.03","5,665.03","5,625.56","","-0.43%"
"10/08/2025","5,649.73","5,594.09","5,657.34","5,594.09","","0.64%"
"10/07/2025","5,613.62","5,629.64","5,643.61","5,610.50","","-0.27%"
"10/06/2025","5,628.72","5,655.17","5,655.17","5,605.52","","-0.41%"
"10/03/2025","5,651.71","5,658.06","5,667.92","5,641.35","","0.10%"
"10/02/2025","5,645.81","5,617.17","5,674.55","5,617.17","","1.16%"
"10/01/2025","5,581.21","5,513.15","5,590.49","5,503.99","","0.93%"
"09/30/2025","5,529.96","5,503.26","5,529.96","5,484.22","","0.42%"
"09/29/2025","5,506.85","5,514.49","5,520.89","5,496.34","","0.13%"
"09/26/2025","5,499.70","5,448.89","5,503.69","5,448.89","","1.01%"
"09/25/2025","5,444.89","5,463.55","5,463.55","5,415.31","","-0.36%"
"09/24/2025","5,464.56","5,472.09","5,481.93","5,450.12","","-0.14%"
"09/23/2025","5,472.39","5,445.83","5,495.02","5,445.83","","0.56%"
"09/22/2025","5,442.05","5,462.65","5,462.65","5,426.58","","-0.30%"
"09/19/2025","5,458.42","5,459.25","5,494.13","5,452.86","","0.03%"
"09/18/2025","5,456.67","5,389.00","5,463.15","5,389.00","","1.62%"
"09/17/2025","5,369.70","5,381.69","5,393.92","5,361.11","","-0.05%"
"09/16/2025","5,372.31","5,439.92","5,446.19","5,370.58","","-1.25%"
"09/15/2025","5,440.40","5,402.90","5,446.17","5,402.90","","0.92%"
"09/12/2025","5,390.71","5,387.15","5,397.20","5,359.31","","0.07%"
"09/11/2025","5,386.77","5,362.86","5,403.93","5,354.61","","0.47%"
"09/10/2025","5,361.47","5,387.46","5,413.06","5,354.56","","-0.14%"
"09/09/2025","5,368.82","5,364.72","5,387.84","5,348.15","","0.11%"
"09/08/2025","5,362.81","5,324.66","5,368.36","5,324.66","","0.84%"
"09/05/2025","5,318.15","5,356.79","5,372.26","5,301.18","","-0.53%"
"09/04/2025","5,346.71","5,327.05","5,351.54","5,313.22","","0.41%"
"09/03/2025","5,325.01","5,311.89","5,342.45","5,304.98","","0.64%"
"09/02/2025","5,291.04","5,367.56","5,368.76","5,290.46","","-1.42%"
"09/01/2025","5,367.08","5,351.44","5,377.74","5,351.44","","0.29%"
"08/29/2025","5,351.73","5,384.93","5,395.23","5,351.64","","-0.83%"
"08/28/2025","5,396.73","5,398.54","5,430.81","5,378.05","","0.07%"
"08/27/2025","5,393.07","5,385.69","5,403.99","5,365.97","","0.17%"
"08/26/2025","5,383.68","5,413.32","5,413.32","5,376.11","","-1.11%"
"08/25/2025","5,443.96","5,480.53","5,480.53","5,441.08","","-0.81%"
"08/22/2025","5,488.23","5,457.94","5,510.69","5,448.56","","0.48%"
"08/21/2025","5,462.16","5,469.92","5,470.60","5,439.27","","-0.19%"
"08/20/2025","5,472.32","5,475.58","5,491.52","5,450.83","","-0.20%"
"08/19/2025","5,483.28","5,438.98","5,489.46","5,438.98","","0.89%"
"08/18/2025","5,434.64","5,446.78","5,451.66","5,412.22","","-0.26%"
"08/15/2025","5,448.61","5,441.26","5,465.57","5,440.57","","0.26%"
"08/14/2025","5,434.70","5,391.83","5,438.37","5,390.37","","0.86%"
"08/13/2025","5,388.25","5,342.23","5,394.85","5,342.23","","0.98%"
"08/12/2025","5,335.97","5,340.19","5,348.70","5,312.19","","0.08%"
"08/11/2025","5,331.85","5,360.25","5,371.25","5,325.73","","-0.30%"
"08/08/2025","5,347.74","5,336.26","5,366.96","5,326.53","","0.29%"
"08/07/2025","5,332.07","5,261.32","5,353.88","5,261.32","","1.31%"
"08/06/2025","5,263.29","5,260.45","5,282.54","5,252.67","","0.26%"
"08/05/2025","5,249.59","5,254.75","5,270.45","5,235.92","","0.14%"
"08/04/2025","5,242.32","5,170.48","5,242.32","5,170.48","","1.49%"
"08/01/2025","5,165.60","5,304.04","5,304.04","5,154.83","","-2.90%"
"07/31/2025","5,319.92","5,405.66","5,419.62","5,317.61","","-1.36%"
"07/30/2025","5,393.18","5,376.43","5,404.08","5,363.98","","0.26%"
"07/29/2025","5,379.20","5,340.78","5,412.51","5,340.78","","0.78%"
"07/28/2025","5,337.58","5,381.59","5,417.28","5,330.97","","-0.27%"
"07/25/2025","5,352.16","5,342.66","5,362.23","5,317.54","","-0.06%"
"07/24/2025","5,355.20","5,365.92","5,396.31","5,337.97","","0.20%"
"07/23/2025","5,344.25","5,305.59","5,371.35","5,305.59","","1.02%"
"07/22/2025","5,290.48","5,332.32","5,332.32","5,277.85","","-0.98%"
"07/21/2025","5,342.98","5,358.19","5,360.05","5,318.53","","-0.30%"
"07/18/2025","5,359.23","5,385.37","5,404.32","5,353.10","","-0.33%"
"07/17/2025","5,377.15","5,338.99","5,377.15","5,336.58","","1.49%"
"07/16/2025","5,298.07","5,327.78","5,351.43","5,298.07","","-1.05%"
"07/15/2025","5,354.17","5,374.63","5,397.76","5,351.38","","-0.31%"
"07/14/2025","5,370.85","5,357.50","5,371.21","5,337.64","","-0.23%"
"07/11/2025","5,383.48","5,423.00","5,423.00","5,370.17","","-1.01%"
"07/10/2025","5,438.27","5,452.30","5,470.81","5,434.95","","-0.14%"
"07/09/2025","5,445.65","5,382.03","5,451.70","5,382.03","","1.37%"
"07/08/2025","5,371.95","5,346.33","5,375.41","5,333.53","","0.57%"
"07/07/2025","5,341.54","5,292.79","5,341.54","5,289.19","","1.00%"
"07/04/2025","5,288.81","5,320.94","5,320.94","5,274.88","","-1.02%"
"07/03/2025","5,343.15","5,325.85","5,343.15","5,302.59","","0.46%"
"07/02/2025","5,318.72","5,294.27","5,323.53","5,285.25","","0.69%"
"07/01/2025","5,282.43","5,308.01","5,314.39","5,265.94","","-0.39%"
"06/30/2025","5,303.24","5,337.74","5,341.77","5,296.46","","-0.42%"
"06/27/2025","5,325.64","5,268.82","5,325.64","5,268.82","","1.56%"
"06/26/2025","5,244.03","5,261.16","5,273.81","5,222.76","","-0.15%"
"06/25/2025","5,252.01","5,302.94","5,316.26","5,252.01","","-0.85%"
"06/24/2025","5,297.07","5,261.92","5,323.08","5,261.92","","1.44%"
"06/23/2025","5,221.90","5,224.34","5,249.18","5,189.59","","-0.22%"
"06/20/2025","5,233.58","5,208.19","5,275.38","5,208.19","","0.70%"
"06/19/2025","5,197.03","5,248.42","5,248.42","5,196.84","","-1.33%"
"06/18/2025","5,266.91","5,288.63","5,300.25","5,253.56","","-0.41%"
"06/17/2025","5,288.68","5,311.09","5,311.09","5,265.30","","-0.95%"
"06/16/2025","5,339.57","5,295.92","5,344.12","5,295.92","","0.93%"
"06/13/2025","5,290.47","5,329.27","5,329.27","5,269.11","","-1.31%"
"06/12/2025","5,360.82","5,377.34","5,381.60","5,327.74","","-0.60%"
"06/11/2025","5,393.15","5,418.30","5,430.15","5,393.15","","-0.41%"
"06/10/2025","5,415.38","5,414.84","5,428.18","5,396.17","","-0.11%"
"06/09/2025","5,421.52","5,424.96","5,427.50","5,395.81","","-0.16%"
"06/06/2025","5,430.17","5,407.14","5,435.42","5,395.58","","0.36%"
"06/05/2025","5,410.55","5,406.69","5,432.38","5,382.10","","0.10%"
"06/04/2025","5,405.15","5,385.42","5,424.09","5,385.42","","0.55%"
"06/03/2025","5,375.70","5,363.99","5,376.95","5,326.22","","0.38%"
"06/02/2025","5,355.56","5,337.40","5,364.23","5,308.05","","-0.21%"
"05/30/2025","5,366.59","5,370.20","5,402.23","5,358.75","","-0.08%"
"05/29/2025","5,371.10","5,402.57","5,437.67","5,364.98","","-0.14%"
"05/28/2025","5,378.39","5,413.21","5,427.97","5,377.64","","-0.68%"
"05/27/2025","5,415.45","5,391.13","5,436.28","5,388.47","","0.37%"
"05/26/2025","5,395.33","5,364.83","5,412.57","5,364.83","","1.30%"
"05/23/2025","5,326.31","5,426.69","5,441.87","5,252.94","","-1.81%"
"05/22/2025","5,424.48","5,448.32","5,448.32","5,385.16","","-0.55%"
"05/21/2025","5,454.46","5,452.27","5,461.06","5,415.89","","0.00%"
"05/20/2025","5,454.65","5,430.86","5,467.28","5,423.12","","0.51%"
"05/19/2025","5,427.23","5,409.04","5,427.23","5,382.33","","-0.01%"
"05/16/2025","5,427.53","5,422.42","5,450.95","5,407.53","","0.29%"
