"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","25,630.54","25,801.49","25,808.52","25,554.31","1.65B","-0.87%"
"12/30/2025","25,854.60","25,636.40","25,930.22","25,611.23","3.14B","0.86%"
"12/29/2025","25,635.23","25,928.89","26,082.94","25,630.75","2.93B","-0.71%"
"12/24/2025","25,818.93","25,780.09","25,890.87","25,772.87","1.24B","0.17%"
"12/23/2025","25,774.14","25,875.85","25,927.66","25,726.45","2.24B","-0.11%"
"12/22/2025","25,801.77","25,795.94","25,859.61","25,671.33","2.36B","0.43%"
"12/19/2025","25,690.53","25,634.22","25,747.01","25,545.92","3.36B","0.75%"
"12/18/2025","25,498.13","25,330.83","25,511.84","25,261.38","2.61B","0.12%"
"12/17/2025","25,468.78","25,243.59","25,494.94","25,168.19","2.47B","0.92%"
"12/16/2025","25,235.41","25,547.92","25,547.92","25,086.54","2.92B","-1.54%"
"12/15/2025","25,628.88","25,718.14","25,824.44","25,609.28","2.80B","-1.34%"
"12/12/2025","25,976.79","25,761.41","26,006.47","25,697.43","3.22B","1.75%"
"12/11/2025","25,530.51","25,710.61","25,801.34","25,471.50","2.35B","-0.04%"
"12/10/2025","25,540.78","25,435.49","25,540.78","25,257.61","2.73B","0.42%"
"12/09/2025","25,434.23","25,780.97","25,820.31","25,386.58","2.86B","-1.29%"
"12/08/2025","25,765.36","26,067.86","26,151.46","25,755.01","2.92B","-1.23%"
"12/05/2025","26,085.08","25,833.11","26,131.61","25,758.17","2.97B","0.58%"
"12/04/2025","25,935.90","25,804.01","25,990.73","25,649.30","2.17B","0.68%"
"12/03/2025","25,760.73","25,980.89","25,996.88","25,724.82","2.18B","-1.28%"
"12/02/2025","26,095.05","26,188.55","26,264.13","25,989.45","2.45B","0.24%"
"12/01/2025","26,033.26","25,945.87","26,179.72","25,913.98","2.32B","0.67%"
"11/28/2025","25,858.89","26,011.06","26,011.06","25,807.55","1.96B","-0.34%"
