"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","16,681.88","16,692.75","16,820.00","16,252.00","","-0.56%"
"12/30/2025","16,775.63","15,716.00","16,828.38","15,716.00","","6.60%"
"12/29/2025","15,737.63","15,856.25","16,002.75","15,526.50","","0.68%"
"12/24/2025","15,631.38","15,651.88","15,953.75","15,503.50","","-0.48%"
"12/23/2025","15,706.00","15,205.38","15,949.00","15,145.25","","2.98%"
"12/22/2025","15,251.88","14,851.00","15,274.63","14,831.50","","3.33%"
"12/19/2025","14,760.63","14,568.00","14,846.38","14,568.00","","1.50%"
"12/18/2025","14,542.88","14,304.50","14,637.38","14,304.50","","1.39%"
"12/17/2025","14,343.13","14,197.88","14,461.50","14,197.88","","0.76%"
"12/16/2025","14,235.38","14,221.25","14,319.88","14,218.25","","-0.17%"
"12/15/2025","14,259.63","14,543.00","14,573.00","14,231.38","","-2.13%"
"12/12/2025","14,569.38","14,551.38","14,701.13","14,531.13","","-0.31%"
"12/11/2025","14,614.38","14,617.63","14,727.50","14,517.25","","-0.15%"
"12/10/2025","14,636.38","14,670.38","14,800.50","14,616.88","","-0.53%"
"12/09/2025","14,714.63","14,810.38","14,871.75","14,692.38","","-1.00%"
"12/08/2025","14,862.63","14,914.50","14,925.00","14,798.38","","-0.32%"
"12/05/2025","14,910.38","14,817.63","14,936.13","14,817.63","","0.33%"
"12/04/2025","14,860.88","14,867.00","14,915.63","14,829.75","","-0.07%"
"12/03/2025","14,871.38","14,696.00","14,910.88","14,696.00","","0.65%"
"12/02/2025","14,774.88","14,806.38","14,904.88","14,742.88","","-0.60%"
"12/01/2025","14,864.13","14,817.50","14,947.25","14,774.63","","0.37%"
"11/28/2025","14,809.38","14,765.63","14,873.63","14,765.63","","0.03%"
"11/27/2025","14,805.63","14,774.13","14,831.63","14,748.75","","0.08%"
"11/26/2025","14,793.88","14,834.25","14,889.88","14,764.88","","-0.47%"
"11/25/2025","14,864.13","14,686.75","14,904.38","14,628.88","","1.27%"
"11/24/2025","14,677.88","14,544.25","14,697.13","14,514.25","","1.04%"
"11/21/2025","14,526.13","14,388.50","14,526.13","14,312.88","","0.60%"
"11/20/2025","14,439.88","14,583.50","14,647.00","14,388.63","","-1.35%"
"11/19/2025","14,637.63","14,567.75","14,678.25","14,563.38","","0.15%"
"11/18/2025","14,615.38","14,585.88","14,629.13","14,495.50","","-0.20%"
"11/17/2025","14,644.63","14,842.00","14,849.50","14,601.38","","-1.36%"
"11/14/2025","14,846.38","14,882.50","14,955.25","14,750.13","","-0.63%"
"11/13/2025","14,940.88","14,963.50","15,055.38","14,931.88","","-0.44%"
"11/12/2025","15,006.38","14,950.38","15,048.38","14,950.38","","-0.03%"
"11/11/2025","15,011.63","15,033.00","15,103.00","14,998.13","","-0.54%"
"11/10/2025","15,093.38","15,042.00","15,155.88","15,036.00","","0.30%"
"11/07/2025","15,048.63","14,996.25","15,093.88","14,996.25","","0.06%"
"11/06/2025","15,039.38","14,967.25","15,146.88","14,967.25","","0.25%"
"11/05/2025","15,001.13","14,994.50","15,113.50","14,986.88","","-0.43%"
"11/04/2025","15,066.63","15,050.63","15,141.00","15,036.88","","-0.28%"
"11/03/2025","15,108.38","15,201.00","15,274.75","15,100.88","","-0.73%"
"10/31/2025","15,218.88","15,210.25","15,253.63","15,159.38","","0.10%"
"10/30/2025","15,203.13","15,327.13","15,358.00","15,158.88","","-1.08%"
"10/29/2025","15,369.25","15,205.63","15,376.63","15,205.63","","0.59%"
"10/28/2025","15,279.13","15,243.00","15,302.63","15,127.25","","0.09%"
"10/27/2025","15,264.88","15,374.13","15,395.88","15,191.13","","-0.47%"
"10/24/2025","15,336.38","15,288.00","15,366.88","15,229.25","","0.00%"
"10/23/2025","15,337.13","15,078.50","15,372.88","15,078.50","","1.22%"
"10/22/2025","15,152.38","15,176.25","15,196.13","15,105.38","","-0.08%"
"10/21/2025","15,164.13","15,155.25","15,242.50","15,128.38","","-0.35%"
"10/20/2025","15,217.13","15,104.00","15,217.13","15,082.13","","0.70%"
"10/17/2025","15,111.38","15,248.50","15,279.50","15,067.88","","-0.98%"
"10/16/2025","15,260.63","15,099.50","15,271.88","15,099.50","","0.61%"
"10/15/2025","15,168.13","15,063.00","15,240.38","15,063.00","","0.35%"
"10/14/2025","15,115.13","15,135.88","15,205.25","15,087.63","","-0.37%"
"10/13/2025","15,171.88","15,225.00","15,323.75","15,169.38","","-0.32%"
"10/10/2025","15,220.13","15,411.13","15,453.00","15,145.88","","-1.61%"
"10/09/2025","15,468.88","15,305.00","15,606.88","15,278.00","","0.82%"
"10/08/2025","15,343.63","15,410.00","15,461.25","15,301.13","","-0.82%"
"10/07/2025","15,470.88","15,388.13","15,507.50","15,388.13","","0.11%"
"10/06/2025","15,453.13","15,401.00","15,467.25","15,297.13","","0.05%"
"10/03/2025","15,445.00","15,238.63","15,470.63","15,238.63","","0.95%"
"10/02/2025","15,299.13","15,175.75","15,332.38","15,143.50","","0.83%"
"10/01/2025","15,173.63","15,192.63","15,262.13","15,134.13","","-0.29%"
"09/30/2025","15,217.13","15,256.25","15,304.25","15,174.38","","-0.56%"
"09/29/2025","15,302.38","15,157.50","15,327.38","15,153.25","","1.00%"
"09/26/2025","15,150.38","15,194.75","15,259.75","15,131.88","","-0.67%"
"09/25/2025","15,252.88","15,366.75","15,491.38","15,230.88","","-1.04%"
"09/24/2025","15,413.13","15,268.25","15,429.13","15,250.38","","0.51%"
"09/23/2025","15,335.38","15,151.13","15,352.13","15,145.00","","0.91%"
"09/22/2025","15,197.13","15,261.75","15,334.75","15,183.88","","-0.31%"
"09/19/2025","15,243.88","15,264.13","15,360.75","15,236.63","","0.07%"
"09/18/2025","15,232.63","15,379.75","15,379.75","15,193.13","","-0.98%"
"09/17/2025","15,382.88","15,402.50","15,409.75","15,178.88","","-0.10%"
"09/16/2025","15,397.88","15,337.38","15,421.13","15,337.38","","0.05%"
"09/15/2025","15,389.63","15,341.25","15,505.13","15,289.50","","0.21%"
"09/12/2025","15,357.38","15,222.25","15,375.88","15,186.38","","1.02%"
"09/11/2025","15,202.88","15,089.88","15,236.25","15,035.63","","0.30%"
"09/10/2025","15,156.88","15,052.63","15,169.38","15,034.63","","0.33%"
"09/09/2025","15,107.38","15,184.00","15,221.50","15,067.13","","-0.53%"
"09/08/2025","15,187.38","15,262.00","15,387.88","15,165.88","","-0.52%"
"09/05/2025","15,267.13","15,175.63","15,353.88","15,165.50","","0.57%"
"09/04/2025","15,181.13","15,261.00","15,261.00","15,127.88","","-0.61%"
"09/03/2025","15,274.25","15,244.88","15,354.50","15,177.00","","0.38%"
"09/02/2025","15,217.00","15,413.50","15,444.50","15,160.00","","-1.31%"
"09/01/2025","15,418.50","15,401.75","15,493.50","15,387.75","","0.09%"
"08/29/2025","15,403.88","15,262.25","15,414.38","15,191.50","","0.89%"
"08/28/2025","15,268.13","15,114.25","15,279.13","15,087.25","","1.11%"
"08/27/2025","15,100.38","15,248.75","15,345.50","15,040.63","","-1.08%"
"08/26/2025","15,265.88","15,034.25","15,286.13","15,006.25","","1.79%"
"08/22/2025","14,997.63","14,894.25","15,096.88","14,881.00","","0.55%"
"08/21/2025","14,916.13","15,009.00","15,031.00","14,896.88","","-0.63%"
"08/20/2025","15,010.38","15,032.00","15,039.50","14,888.63","","0.08%"
"08/19/2025","14,998.63","15,089.00","15,146.50","14,975.88","","-0.88%"
"08/18/2025","15,131.13","15,126.50","15,148.50","15,019.00","","-0.09%"
"08/15/2025","15,145.38","14,996.38","15,157.38","14,984.25","","0.79%"
"08/14/2025","15,026.88","15,163.63","15,288.75","14,994.88","","-1.32%"
"08/13/2025","15,228.13","15,312.25","15,351.38","15,212.88","","-0.43%"
"08/12/2025","15,293.63","15,249.75","15,330.50","15,157.88","","0.09%"
"08/11/2025","15,279.63","15,079.50","15,333.50","15,076.25","","1.14%"
"08/08/2025","15,107.63","15,128.00","15,204.38","15,034.88","","0.03%"
"08/07/2025","15,102.88","15,052.00","15,218.75","15,052.00","","-0.01%"
"08/06/2025","15,103.88","15,007.88","15,205.25","15,007.88","","0.52%"
"08/05/2025","15,025.88","15,027.13","15,126.50","14,900.13","","-0.25%"
"08/04/2025","15,062.88","14,987.00","15,141.88","14,922.00","","0.56%"
"08/01/2025","14,978.63","14,886.13","14,991.13","14,738.88","","0.41%"
"07/31/2025","14,916.88","14,990.63","15,085.50","14,860.88","","-0.69%"
"07/30/2025","15,020.75","15,243.13","15,286.50","14,991.00","","-1.55%"
"07/29/2025","15,258.00","15,178.75","15,298.00","15,104.75","","0.17%"
"07/28/2025","15,232.50","15,233.75","15,309.25","15,139.50","","0.30%"
"07/25/2025","15,186.50","15,444.50","15,578.00","15,129.13","","-1.47%"
"07/24/2025","15,412.88","15,508.75","15,618.38","15,339.63","","-0.85%"
"07/23/2025","15,544.63","15,512.00","15,579.13","15,410.00","","0.32%"
"07/22/2025","15,494.88","15,480.25","15,540.38","15,367.88","","0.08%"
"07/21/2025","15,482.38","15,201.75","15,556.00","15,176.00","","1.92%"
"07/18/2025","15,190.25","15,006.00","15,209.25","15,006.00","","0.73%"
"07/17/2025","15,080.75","14,979.00","15,090.50","14,887.00","","0.64%"
"07/16/2025","14,984.38","15,145.88","15,234.25","14,937.75","","-1.17%"
"07/15/2025","15,161.50","15,001.50","15,223.75","14,949.75","","0.99%"
"07/14/2025","15,012.50","15,197.00","15,232.75","14,975.50","","-0.84%"
"07/11/2025","15,139.88","15,207.00","15,318.75","15,106.38","","-0.83%"
"07/10/2025","15,266.38","14,987.50","15,280.13","14,976.25","","1.89%"
"07/09/2025","14,983.88","15,009.25","15,036.50","14,937.63","","-0.25%"
"07/08/2025","15,022.13","15,084.50","15,162.00","14,981.25","","-0.74%"
"07/07/2025","15,134.13","15,300.00","15,314.75","15,044.13","","-0.97%"
"07/04/2025","15,281.88","15,299.88","15,425.00","15,237.63","","-0.61%"
"07/03/2025","15,375.88","15,271.00","15,458.38","15,271.00","","0.46%"
"07/02/2025","15,305.13","15,141.63","15,322.13","15,141.63","","0.86%"
"07/01/2025","15,175.38","15,068.63","15,228.38","15,068.63","","-0.14%"
"06/30/2025","15,196.13","15,205.25","15,237.25","15,127.38","","-0.11%"
"06/27/2025","15,212.63","15,106.75","15,281.63","15,106.75","","0.14%"
"06/26/2025","15,191.25","15,017.13","15,245.00","15,017.13","","0.90%"
"06/25/2025","15,056.13","14,851.63","15,064.88","14,851.63","","0.97%"
"06/24/2025","14,911.13","14,782.13","14,990.38","14,766.75","","0.77%"
"06/23/2025","14,797.25","15,026.25","15,026.25","14,755.25","","-1.13%"
"06/20/2025","14,965.63","14,965.00","15,064.50","14,897.88","","-0.25%"
"06/19/2025","15,003.38","15,019.75","15,122.88","14,981.88","","-0.24%"
"06/18/2025","15,039.75","14,861.88","15,073.38","14,861.88","","0.95%"
"06/17/2025","14,898.88","15,022.88","15,045.63","14,888.88","","-0.85%"
"06/16/2025","15,026.13","15,070.50","15,242.00","15,008.63","","-0.83%"
"06/13/2025","15,151.88","15,056.88","15,179.00","15,052.13","","0.30%"
"06/12/2025","15,106.88","15,101.25","15,217.25","15,050.13","","-0.32%"
"06/11/2025","15,155.63","15,255.13","15,378.00","15,109.13","","-0.83%"
"06/10/2025","15,282.75","15,298.50","15,388.75","15,228.13","","-0.59%"
"06/09/2025","15,372.88","15,447.50","15,531.75","15,299.88","","-0.44%"
"06/06/2025","15,440.13","15,414.25","15,511.38","15,388.38","","-0.23%"
"06/05/2025","15,476.38","15,286.38","15,522.13","15,286.38","","0.79%"
"06/04/2025","15,355.38","15,381.63","15,501.13","15,340.38","","-0.48%"
"06/03/2025","15,429.38","15,431.13","15,462.75","15,289.88","","-0.14%"
"06/02/2025","15,451.25","15,235.00","15,529.50","15,235.00","","1.43%"
"05/30/2025","15,233.88","15,308.25","15,424.63","15,171.38","","-0.78%"
"05/29/2025","15,353.38","15,015.75","15,366.13","15,015.75","","1.97%"
"05/28/2025","15,057.13","15,336.13","15,409.00","14,977.13","","-2.05%"
"05/27/2025","15,371.88","15,541.25","15,549.50","15,230.88","","-1.40%"
"05/23/2025","15,590.63","15,495.38","15,610.63","15,367.88","","0.60%"
"05/22/2025","15,496.88","15,557.50","15,614.75","15,386.13","","-0.73%"
"05/21/2025","15,611.13","15,460.88","15,664.25","15,439.63","","1.07%"
"05/20/2025","15,446.38","15,446.88","15,573.38","15,351.88","","-0.36%"
"05/19/2025","15,501.63","15,579.00","15,661.50","15,387.63","","-0.38%"
"05/16/2025","15,561.13","15,732.25","15,837.50","15,551.88","","-1.30%"
"05/15/2025","15,766.88","15,738.00","15,800.88","15,532.63","","-0.12%"
"05/14/2025","15,786.13","15,656.38","15,949.63","15,656.38","","0.66%"
"05/13/2025","15,682.63","15,509.75","15,727.75","15,461.75","","0.94%"
"05/12/2025","15,536.25","15,784.75","15,869.75","15,531.75","","-1.67%"
"05/09/2025","15,799.88","15,510.75","15,802.63","15,473.25","","1.54%"
"05/08/2025","15,560.38","15,495.75","15,614.00","15,450.63","","0.26%"
"05/07/2025","15,519.88","15,613.00","15,727.50","15,444.38","","-0.92%"
"05/06/2025","15,664.38","15,533.75","15,690.00","15,507.75","","0.87%"
"05/02/2025","15,529.88","15,260.50","15,586.25","15,212.25","","2.05%"
"05/01/2025","15,218.63","15,303.50","15,440.38","15,165.13","","-0.81%"
"04/30/2025","15,342.50","15,558.50","15,622.13","15,342.50","","-1.42%"
"04/29/2025","15,564.00","15,613.13","15,658.00","15,510.38","","-0.47%"
"04/28/2025","15,637.63","15,516.50","15,720.88","15,439.00","","1.00%"
"04/25/2025","15,482.88","15,811.25","15,861.25","15,443.88","","-2.15%"
"04/24/2025","15,822.50","15,522.88","15,830.75","15,522.88","","1.83%"
"04/23/2025","15,537.75","15,742.50","15,817.88","15,537.75","","-0.91%"
"04/22/2025","15,680.63","15,651.00","15,746.13","15,573.75","","-0.21%"
"04/17/2025","15,712.88","15,562.13","15,735.38","15,557.38","","0.37%"
"04/16/2025","15,654.38","15,478.88","15,748.88","15,370.00","","0.91%"
"04/15/2025","15,512.63","15,273.88","15,666.63","15,273.88","","1.38%"
"04/14/2025","15,301.38","15,104.50","15,530.38","15,086.00","","1.58%"
"04/11/2025","15,063.13","14,667.25","15,320.50","14,667.25","","2.61%"
"04/10/2025","14,680.13","14,608.63","14,854.50","14,388.00","","4.14%"
"04/09/2025","14,097.00","14,133.88","14,352.63","13,972.00","","-0.78%"
"04/08/2025","14,208.13","14,476.00","14,624.38","14,076.25","","-1.69%"
"04/07/2025","14,452.63","13,942.75","14,856.50","13,820.75","","-1.52%"
"04/04/2025","14,676.25","15,668.00","15,714.75","14,633.88","","-6.65%"
"04/03/2025","15,721.50","15,855.00","15,898.00","15,681.00","","-1.36%"
"04/02/2025","15,937.75","16,149.63","16,153.00","15,936.38","","-0.76%"
"04/01/2025","16,059.25","15,926.63","16,183.63","15,918.63","","1.09%"
"03/31/2025","15,885.50","16,280.13","16,381.63","15,880.38","","-3.11%"
"03/28/2025","16,395.00","16,235.50","16,453.13","16,228.13","","1.11%"
"03/27/2025","16,214.38","16,158.13","16,299.63","16,087.13","","-0.10%"
"03/26/2025","16,230.75","16,158.63","16,287.88","16,002.38","","0.00%"
"03/25/2025","16,230.00","15,935.13","16,254.13","15,935.13","","1.44%"
"03/24/2025","16,000.38","16,062.50","16,212.75","15,979.75","","-0.67%"
"03/21/2025","16,108.00","16,196.13","16,293.00","16,025.63","","-1.02%"
"03/20/2025","16,273.75","16,384.00","16,406.00","16,039.50","","-0.59%"
"03/19/2025","16,371.00","16,194.88","16,588.13","16,194.88","","0.83%"
"03/18/2025","16,236.75","16,395.00","16,442.50","16,136.75","","-0.85%"
"03/17/2025","16,375.38","16,564.25","16,658.63","16,292.63","","-0.88%"
"03/14/2025","16,520.13","16,402.75","16,752.63","16,402.75","","0.49%"
"03/13/2025","16,438.88","16,658.25","16,675.75","16,340.63","","-1.17%"
"03/12/2025","16,632.75","16,459.25","16,735.38","16,418.75","","0.90%"
"03/11/2025","16,484.13","16,417.25","16,565.00","16,324.25","","0.34%"
"03/10/2025","16,428.50","16,407.25","16,679.25","16,378.00","","0.17%"
"03/07/2025","16,401.38","16,222.75","16,553.38","16,155.00","","0.96%"
"03/06/2025","16,244.88","15,878.50","16,306.13","15,873.75","","2.50%"
"03/05/2025","15,848.38","15,908.38","16,133.13","15,785.38","","-0.61%"
"03/04/2025","15,945.63","15,870.75","16,031.63","15,719.13","","0.20%"
"03/03/2025","15,914.13","15,539.25","16,015.13","15,520.75","","2.92%"
"02/28/2025","15,461.88","15,797.50","15,832.00","15,407.13","","-2.10%"
"02/27/2025","15,792.75","15,523.38","15,902.38","15,521.25","","1.46%"
"02/26/2025","15,565.63","15,306.75","15,645.88","15,306.75","","1.49%"
"02/25/2025","15,336.63","15,321.50","15,410.75","15,265.38","","-0.50%"
"02/24/2025","15,413.38","15,460.00","15,658.50","15,404.75","","-0.52%"
"02/21/2025","15,493.63","15,621.50","15,641.00","15,396.38","","-0.83%"
"02/20/2025","15,622.63","15,416.00","15,697.88","15,396.25","","1.31%"
"02/19/2025","15,420.13","15,309.50","15,426.13","15,255.88","","0.42%"
"02/18/2025","15,355.63","15,452.50","15,497.25","15,282.13","","-0.90%"
"02/17/2025","15,495.13","15,424.25","15,509.13","15,362.13","","0.05%"
"02/14/2025","15,487.63","15,460.50","15,573.63","15,424.88","","0.67%"
"02/13/2025","15,383.88","15,354.88","15,469.25","15,219.38","","-0.28%"
"02/12/2025","15,427.38","15,429.88","15,486.00","15,321.25","","0.96%"
"02/11/2025","15,280.00","15,388.00","15,396.00","15,230.00","","-1.16%"
"02/11/2025","15,459.88","15,272.38","15,532.13","15,249.38","","-0.45%"
"02/10/2025","15,530.00","15,768.00","15,785.00","15,442.00","","-1.33%"
"02/07/2025","15,740.00","15,765.00","15,802.00","15,653.00","","-0.49%"
"02/06/2025","15,818.00","15,737.00","15,818.00","15,652.00","","1.70%"
"02/05/2025","15,554.00","15,282.00","15,576.00","15,215.00","","1.71%"
"02/04/2025","15,293.00","15,067.00","15,311.00","15,015.00","","1.43%"
"02/03/2025","15,077.00","15,100.00","15,206.00","15,002.00","","-0.73%"
"01/31/2025","15,188.00","15,365.00","15,365.00","15,140.00","","-1.18%"
"01/30/2025","15,369.00","15,360.00","15,437.00","15,340.00","","-0.29%"
"01/29/2025","15,413.00","15,362.00","15,523.00","15,337.00","","-1.04%"
"01/28/2025","15,575.00","15,549.00","15,612.00","15,337.00","","0.15%"
"01/27/2025","15,552.00","15,620.00","15,800.00","15,493.00","","-0.02%"
"01/24/2025","15,555.00","15,702.00","15,715.00","15,540.00","","-0.44%"
"01/23/2025","15,623.00","15,552.00","15,688.00","15,532.00","","-0.72%"
