"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2025","50,339.48","50,312.85","50,534.64","50,198.97","","-0.37%"
"12/29/2025","50,526.92","50,691.22","50,707.23","50,347.65","","-0.44%"
"12/26/2025","50,750.39","50,527.13","50,941.89","50,527.13","","0.68%"
"12/25/2025","50,407.79","50,450.18","50,510.11","50,283.76","","0.13%"
"12/24/2025","50,344.10","50,475.48","50,636.95","50,323.92","","-0.14%"
"12/23/2025","50,412.87","50,374.48","50,544.56","50,264.42","","0.02%"
"12/22/2025","50,402.39","50,084.55","50,590.88","49,982.20","","1.81%"
"12/19/2025","49,507.21","49,387.71","49,766.96","49,257.15","","1.03%"
"12/18/2025","49,001.50","49,058.31","49,169.79","48,643.78","","-1.03%"
"12/17/2025","49,512.28","49,413.19","49,571.50","49,077.81","","0.26%"
"12/16/2025","49,383.29","50,051.24","50,051.24","49,355.87","","-1.56%"
"12/15/2025","50,168.11","50,352.09","50,432.10","49,965.68","","-1.31%"
"12/12/2025","50,836.55","50,480.23","51,127.69","50,457.42","","1.37%"
"12/11/2025","50,148.82","50,818.39","50,875.98","49,926.27","","-0.90%"
"12/10/2025","50,602.80","50,878.66","51,107.77","50,329.27","","-0.10%"
"12/09/2025","50,655.10","50,677.36","50,793.69","50,417.11","","0.14%"
"12/08/2025","50,581.94","50,643.09","50,678.05","50,224.65","","0.18%"
"12/05/2025","50,491.87","50,530.34","50,634.85","50,215.41","","-1.05%"
"12/04/2025","51,028.42","49,942.94","51,028.42","49,910.06","","2.33%"
"12/03/2025","49,864.68","49,540.64","50,138.60","49,521.23","","1.14%"
"12/02/2025","49,303.45","49,494.58","49,636.79","49,243.55","","0.00%"
"12/01/2025","49,303.28","49,316.30","49,316.30","49,316.30","","-1.89%"
"11/28/2025","50,253.91","50,218.96","50,258.25","49,989.54","","0.17%"
"11/27/2025","50,167.10","49,868.79","50,322.14","49,865.17","","1.23%"
"11/26/2025","49,559.07","49,012.25","49,749.59","48,964.19","","1.85%"
"11/25/2025","48,659.52","49,113.82","49,182.32","48,511.95","","0.07%"
"11/21/2025","48,625.88","49,251.26","49,459.59","48,490.03","","-2.40%"
"11/20/2025","49,823.94","49,129.29","50,574.82","49,113.39","","2.65%"
"11/19/2025","48,537.70","48,822.88","49,087.11","48,235.30","","-0.34%"
"11/18/2025","48,702.98","49,812.95","49,971.55","48,661.52","","-3.22%"
"11/17/2025","50,323.91","50,282.39","50,398.16","49,845.86","","-0.10%"
"11/14/2025","50,376.53","50,767.74","50,767.74","50,246.60","","-1.77%"
"11/13/2025","51,281.83","51,013.15","51,338.89","50,954.27","","0.43%"
"11/12/2025","51,063.31","50,988.53","51,072.26","50,537.50","","0.43%"
"11/11/2025","50,842.93","51,314.04","51,513.16","50,581.17","","-0.14%"
"11/10/2025","50,911.76","50,645.27","50,969.50","50,392.44","","1.26%"
"11/07/2025","50,276.37","50,524.31","50,642.79","49,640.56","","-1.19%"
"11/06/2025","50,883.68","50,792.55","51,248.28","50,594.19","","1.34%"
"11/05/2025","50,212.27","51,291.39","51,422.42","49,073.58","","-2.50%"
"11/04/2025","51,497.20","52,294.31","52,636.87","51,497.20","","-1.74%"
"10/31/2025","52,411.34","51,629.80","52,411.34","51,613.03","","2.12%"
"10/30/2025","51,325.61","51,146.27","51,657.28","50,972.56","","0.04%"
"10/29/2025","51,307.65","50,453.64","51,412.97","50,365.62","","2.17%"
"10/28/2025","50,219.18","50,357.15","50,485.80","50,107.77","","-0.58%"
"10/27/2025","50,512.32","49,905.80","50,549.60","49,838.98","","2.46%"
"10/24/2025","49,299.65","49,095.27","49,435.31","48,965.78","","1.35%"
"10/23/2025","48,641.61","48,866.58","48,866.58","48,399.05","","-1.35%"
"10/22/2025","49,307.79","49,252.03","49,458.28","48,613.70","","-0.02%"
"10/21/2025","49,316.06","49,675.43","49,945.95","49,127.20","","0.27%"
"10/20/2025","49,185.50","48,332.71","49,185.50","48,254.83","","3.37%"
"10/17/2025","47,582.15","47,820.97","48,140.90","47,494.31","","-1.44%"
"10/16/2025","48,277.74","48,107.44","48,317.34","47,937.72","","1.27%"
"10/15/2025","47,672.67","47,002.30","47,774.83","46,910.83","","1.76%"
"10/14/2025","46,847.32","47,446.73","47,865.65","46,544.05","","-2.58%"
"10/10/2025","48,088.80","48,510.72","48,510.72","47,962.61","","-1.01%"
"10/09/2025","48,580.44","48,035.42","48,597.08","47,995.22","","1.77%"
"10/08/2025","47,734.99","47,925.22","48,181.12","47,728.27","","-0.45%"
"10/07/2025","47,950.88","48,281.12","48,527.33","47,904.38","","0.01%"
"10/06/2025","47,944.76","46,636.07","48,150.04","46,592.99","","4.75%"
"10/03/2025","45,769.50","45,042.54","45,778.66","45,042.54","","1.85%"
"10/02/2025","44,936.73","44,736.03","45,125.96","44,659.22","","0.87%"
"10/01/2025","44,550.85","44,831.95","44,874.42","44,357.65","","-0.85%"
"09/30/2025","44,932.63","45,054.96","45,126.23","44,733.60","","-0.25%"
"09/29/2025","45,043.75","45,113.29","45,152.70","44,890.20","","-0.69%"
"09/26/2025","45,354.99","45,634.20","45,766.77","45,354.99","","-0.87%"
"09/25/2025","45,754.93","45,600.07","45,824.69","45,503.31","","0.27%"
"09/24/2025","45,630.31","45,484.41","45,693.28","45,205.47","","0.30%"
"09/22/2025","45,493.66","45,193.77","45,757.74","45,193.77","","0.99%"
"09/19/2025","45,045.81","45,634.29","45,852.75","44,495.46","","-0.57%"
"09/18/2025","45,303.43","44,910.50","45,508.67","44,815.40","","1.15%"
"09/17/2025","44,790.38","44,751.84","45,033.34","44,612.07","","-0.25%"
"09/16/2025","44,902.27","44,948.85","45,055.38","44,616.32","","0.30%"
"09/12/2025","44,768.12","44,803.30","44,888.02","44,548.57","","0.89%"
"09/11/2025","44,372.50","43,876.22","44,396.95","43,870.54","","1.22%"
"09/10/2025","43,837.67","43,513.16","43,848.77","43,509.02","","0.87%"
"09/09/2025","43,459.29","43,907.55","44,185.73","43,452.74","","-0.42%"
