"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","26.27","26.50","26.50","26.23","11.26K","-0.76%"
"12/30/2025","26.47","26.41","26.47","26.38","5.10K","0.25%"
"12/29/2025","26.41","26.36","26.48","26.36","9.55K","0.11%"
"12/26/2025","26.38","26.43","26.43","26.29","13.22K","0.00%"
"12/24/2025","26.37","26.18","26.37","26.18","1.86K","0.77%"
"12/23/2025","26.17","26.16","26.20","26.12","8.69K","-0.20%"
"12/22/2025","26.22","26.14","26.26","26.08","8.97K","0.38%"
"12/19/2025","26.12","26.20","26.27","26.09","8.74K","-0.30%"
"12/18/2025","26.20","26.26","26.37","26.15","10.92K","-1.15%"
"12/17/2025","26.51","26.36","26.56","26.36","3.56K","0.46%"
"12/16/2025","26.39","26.59","26.59","26.39","6.21K","-0.92%"
"12/15/2025","26.63","26.54","26.64","26.49","5.99K","0.80%"
"12/12/2025","26.42","26.39","26.63","26.35","4.86K","0.20%"
"12/11/2025","26.37","26.27","26.43","26.27","9.32K","0.33%"
"12/10/2025","26.28","26.22","26.43","26.22","6.32K","0.20%"
"12/09/2025","26.23","26.37","26.47","26.23","9.05K","-0.43%"
"12/08/2025","26.34","26.62","26.63","26.34","6.45K","-0.71%"
"12/05/2025","26.53","26.58","26.65","26.51","5.49K","0.12%"
"12/04/2025","26.50","26.56","26.74","26.50","5.36K","-0.46%"
"12/03/2025","26.62","26.65","26.68","26.54","11.28K","0.02%"
"12/02/2025","26.61","26.78","26.78","26.54","10.04K","-0.31%"
"12/01/2025","26.69","26.97","26.97","26.69","14.23K","-1.05%"
"11/28/2025","26.98","26.85","26.99","26.82","7.27K","0.39%"
"11/26/2025","26.87","26.70","27.00","26.70","7.70K","0.65%"
"11/25/2025","26.70","26.56","26.84","26.56","8.63K","0.53%"
"11/24/2025","26.56","26.54","26.57","26.43","8.29K","0.21%"
"11/21/2025","26.50","26.32","26.60","26.23","4.44K","1.27%"
"11/20/2025","26.17","26.52","26.52","26.17","7.04K","-0.24%"
"11/19/2025","26.23","26.46","26.46","26.18","14.02K","-0.86%"
"11/18/2025","26.46","26.37","26.51","26.32","14.05K","0.22%"
"11/17/2025","26.40","26.57","26.60","26.36","5.07K","-0.44%"
"11/14/2025","26.52","26.45","26.56","26.40","2.95K","0.26%"
"11/13/2025","26.45","26.71","26.71","26.43","12.95K","-1.03%"
"11/12/2025","26.72","26.97","26.97","26.72","18.64K","-0.85%"
"11/11/2025","26.95","26.97","26.97","26.87","3.22K","0.65%"
"11/10/2025","26.78","26.80","26.89","26.60","10.45K","-0.12%"
"11/07/2025","26.81","26.44","26.81","26.44","4.64K","1.40%"
"11/06/2025","26.44","26.46","26.56","26.40","6.27K","-0.35%"
"11/05/2025","26.53","26.53","26.61","26.41","16.51K","0.15%"
"11/04/2025","26.50","26.39","26.50","26.36","4.75K","0.09%"
"11/03/2025","26.47","26.41","26.48","26.15","22.47K","-0.06%"
"10/31/2025","26.49","26.24","26.56","26.24","19.83K","0.41%"
"10/30/2025","26.38","26.15","26.44","26.15","16.90K","0.84%"
"10/29/2025","26.16","26.70","26.98","26.04","17.28K","-2.47%"
"10/28/2025","26.82","27.53","27.53","26.82","20.18K","-2.15%"
"10/27/2025","27.41","27.32","27.42","27.25","44.32K","0.32%"
"10/24/2025","27.32","27.30","27.44","27.30","6.38K","0.34%"
"10/23/2025","27.23","27.20","27.26","27.02","41.38K","0.02%"
"10/22/2025","27.22","27.07","27.22","27.07","4.39K","0.50%"
"10/21/2025","27.09","27.07","27.16","27.02","5.68K","-0.12%"
"10/20/2025","27.12","26.91","27.12","26.91","10.26K","0.91%"
"10/17/2025","26.88","26.58","26.88","26.58","25.84K","0.96%"
"10/16/2025","26.62","26.71","26.80","26.58","5.05K","-0.24%"
"10/15/2025","26.69","26.44","26.76","26.44","11.88K","1.37%"
"10/14/2025","26.33","26.06","26.35","26.06","37.56K","0.93%"
"10/13/2025","26.08","25.90","26.08","25.90","29.27K","0.70%"
"10/10/2025","25.90","26.22","26.23","25.90","6.77K","-1.20%"
"10/09/2025","26.22","26.40","26.40","26.15","14.91K","-0.54%"
"10/08/2025","26.36","26.54","26.54","26.32","12.11K","-0.38%"
"10/07/2025","26.46","26.53","26.55","26.45","7.14K","-0.45%"
"10/06/2025","26.58","26.92","26.92","26.58","8.70K","-0.86%"
"10/03/2025","26.81","26.77","26.98","26.77","13.07K","0.33%"
"10/02/2025","26.72","26.93","26.93","26.62","10.13K","-0.70%"
"10/01/2025","26.91","26.80","26.97","26.75","16.28K","0.40%"
"09/30/2025","26.80","26.57","26.80","26.56","12.00K","0.85%"
"09/29/2025","26.58","26.70","26.70","26.55","5.91K","-0.16%"
"09/26/2025","26.62","26.46","26.65","26.46","5.40K","1.06%"
"09/25/2025","26.34","26.33","26.54","26.31","12.43K","-0.24%"
"09/24/2025","26.41","26.92","26.92","26.41","15.86K","-0.97%"
"09/23/2025","26.66","26.91","26.92","26.50","20.57K","0.64%"
"09/22/2025","26.49","26.44","26.51","26.25","17.04K","0.00%"
"09/19/2025","26.49","26.88","26.88","26.47","15.77K","-0.57%"
"09/18/2025","26.64","26.59","26.74","26.55","14.37K","-0.45%"
"09/17/2025","26.76","27.41","27.41","26.76","18.27K","-0.31%"
"09/16/2025","26.85","27.12","27.12","26.82","13.72K","-0.75%"
"09/15/2025","27.05","27.23","27.23","27.05","8.00K","-0.30%"
"09/12/2025","27.13","27.20","27.21","27.10","5.37K","-0.23%"
"09/11/2025","27.19","26.86","27.23","26.86","10.99K","1.51%"
"09/10/2025","26.79","26.84","26.95","26.78","6.21K","0.09%"
"09/09/2025","26.77","26.78","26.78","26.68","9.01K","-0.23%"
"09/08/2025","26.83","26.91","26.91","26.67","7.66K","-0.42%"
"09/05/2025","26.94","26.83","27.01","26.83","45.25K","0.74%"
"09/04/2025","26.74","26.59","26.74","26.49","4.53K","0.75%"
"09/03/2025","26.54","26.51","26.56","26.48","6.66K","0.12%"
"09/02/2025","26.51","26.76","26.76","26.45","8.06K","-1.57%"
"08/29/2025","26.94","26.84","26.94","26.82","7.17K","0.48%"
"08/28/2025","26.81","26.93","26.93","26.66","3.89K","-0.29%"
"08/27/2025","26.88","26.54","26.90","26.54","8.32K","1.05%"
"08/26/2025","26.61","26.65","26.66","26.54","9.47K","-0.07%"
"08/25/2025","26.62","26.74","26.76","26.55","5.02K","-0.29%"
"08/22/2025","26.70","26.41","26.86","26.41","5.11K","1.56%"
"08/21/2025","26.29","26.37","26.37","26.24","7.45K","-0.28%"
"08/20/2025","26.36","26.33","26.50","26.27","21.99K","0.38%"
"08/19/2025","26.26","25.77","26.26","25.77","14.93K","1.63%"
"08/18/2025","25.84","26.00","26.09","25.84","13.92K","-0.65%"
"08/15/2025","26.01","25.91","26.10","25.91","6.60K","0.38%"
"08/14/2025","25.91","26.15","26.15","25.77","7.91K","-0.77%"
"08/13/2025","26.12","26.05","26.12","25.87","35.65K","0.88%"
"08/12/2025","25.89","25.82","25.90","25.63","11.68K","0.77%"
"08/11/2025","25.69","25.80","25.85","25.66","15.48K","-0.52%"
"08/08/2025","25.82","26.12","26.12","25.82","8.36K","-0.74%"
"08/07/2025","26.02","26.02","26.02","25.85","12.24K","0.08%"
"08/06/2025","26.00","26.24","26.25","26.00","6.16K","-0.96%"
"08/05/2025","26.25","26.13","26.27","26.04","8.39K","0.73%"
