"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","4,629.94","4,656.48","4,667.05","4,622.10","170.76K","-0.46%"
"12/30/2025","4,651.28","4,617.32","4,664.33","4,616.63","180.38K","0.26%"
"12/29/2025","4,639.37","4,658.27","4,672.04","4,629.06","200.40K","-0.38%"
"12/26/2025","4,657.24","4,639.79","4,676.13","4,635.10","175.40K","0.32%"
"12/25/2025","4,642.54","4,629.32","4,651.15","4,621.92","139.43K","0.18%"
"12/24/2025","4,634.06","4,623.68","4,639.43","4,602.14","153.71K","0.29%"
"12/23/2025","4,620.73","4,616.03","4,644.53","4,607.80","169.26K","0.20%"
"12/22/2025","4,611.62","4,587.67","4,615.87","4,587.67","165.25K","0.95%"
"12/19/2025","4,568.18","4,561.37","4,591.09","4,546.85","154.88K","0.34%"
"12/18/2025","4,552.79","4,553.98","4,571.97","4,544.14","151.68K","-0.59%"
"12/17/2025","4,579.88","4,499.77","4,594.66","4,498.93","178.43K","1.83%"
"12/16/2025","4,497.55","4,542.42","4,553.08","4,484.27","165.17K","-1.20%"
"12/15/2025","4,552.06","4,550.00","4,595.05","4,548.44","167.59K","-0.63%"
"12/12/2025","4,580.95","4,558.74","4,583.68","4,530.78","212.83K","0.63%"
"12/11/2025","4,552.18","4,597.19","4,610.28","4,547.14","168.42K","-0.86%"
"12/10/2025","4,591.83","4,586.25","4,598.54","4,549.08","169.11K","-0.14%"
"12/09/2025","4,598.22","4,611.38","4,628.71","4,584.25","184.16K","-0.51%"
"12/08/2025","4,621.75","4,593.14","4,640.63","4,592.74","199.62K","0.81%"
"12/05/2025","4,584.54","4,547.91","4,593.83","4,535.02","196.80K","0.84%"
"12/04/2025","4,546.57","4,533.60","4,557.42","4,514.19","147.20K","0.34%"
"12/03/2025","4,531.05","4,554.59","4,569.82","4,523.50","169.76K","-0.51%"
"12/02/2025","4,554.33","4,571.91","4,575.49","4,539.43","148.49K","-0.48%"
"12/01/2025","4,576.49","4,539.19","4,576.97","4,531.29","200.38K","1.10%"
"11/28/2025","4,526.66","4,511.50","4,531.72","4,492.43","142.90K","0.25%"
"11/27/2025","4,515.40","4,520.01","4,559.22","4,509.86","150.31K","-0.05%"
"11/26/2025","4,517.63","4,490.20","4,538.14","4,485.70","156.20K","0.61%"
"11/25/2025","4,490.40","4,475.84","4,510.77","4,467.35","169.57K","0.95%"
"11/24/2025","4,448.05","4,473.16","4,478.81","4,421.81","185.83K","-0.12%"
"11/21/2025","4,453.61","4,513.39","4,527.04","4,453.18","222.85K","-2.44%"
"11/20/2025","4,564.95","4,619.54","4,620.65","4,560.18","194.56K","-0.51%"
"11/19/2025","4,588.29","4,568.04","4,607.86","4,568.04","172.93K","0.44%"
"11/18/2025","4,568.19","4,584.79","4,606.62","4,552.80","177.71K","-0.65%"
"11/17/2025","4,598.05","4,616.81","4,624.90","4,580.26","188.96K","-0.65%"
"11/14/2025","4,628.14","4,663.32","4,684.26","4,628.02","192.09K","-1.57%"
"11/13/2025","4,702.07","4,643.79","4,703.49","4,643.79","207.37K","1.21%"
"11/12/2025","4,645.91","4,643.56","4,669.61","4,620.99","209.46K","-0.13%"
"11/11/2025","4,652.17","4,706.34","4,707.13","4,648.49","186.64K","-0.91%"
"11/10/2025","4,695.05","4,688.12","4,695.18","4,654.21","236.03K","0.35%"
"11/07/2025","4,678.79","4,673.76","4,701.37","4,666.04","212.50K","-0.31%"
"11/06/2025","4,693.40","4,642.01","4,698.09","4,642.01","224.24K","1.43%"
"11/05/2025","4,627.26","4,562.11","4,642.61","4,558.76","203.05K","0.19%"
"11/04/2025","4,618.70","4,649.35","4,665.32","4,595.07","233.22K","-0.75%"
"11/03/2025","4,653.40","4,636.73","4,653.40","4,595.73","239.87K","0.27%"
"10/31/2025","4,640.67","4,702.49","4,706.14","4,640.67","281.47K","-1.47%"
"10/30/2025","4,709.91","4,735.98","4,761.83","4,706.45","273.29K","-0.80%"
"10/29/2025","4,747.84","4,701.04","4,747.84","4,697.27","246.21K","1.19%"
"10/28/2025","4,691.97","4,697.73","4,734.32","4,679.23","220.91K","-0.51%"
"10/27/2025","4,716.02","4,699.38","4,720.43","4,687.69","262.20K","1.19%"
"10/24/2025","4,660.68","4,622.79","4,660.68","4,622.79","208.81K","1.18%"
"10/23/2025","4,606.34","4,578.70","4,611.34","4,541.69","200.46K","0.30%"
"10/22/2025","4,592.57","4,576.03","4,603.49","4,567.24","185.33K","-0.33%"
"10/21/2025","4,607.87","4,556.12","4,615.46","4,547.93","215.71K","1.53%"
"10/20/2025","4,538.22","4,558.24","4,570.44","4,520.50","218.42K","0.53%"
"10/17/2025","4,514.23","4,610.70","4,618.56","4,509.33","256.91K","-2.26%"
"10/16/2025","4,618.42","4,588.92","4,645.10","4,586.28","248.24K","0.26%"
"10/15/2025","4,606.29","4,544.24","4,608.82","4,526.83","284.77K","1.48%"
"10/14/2025","4,539.06","4,634.05","4,641.45","4,520.93","372.95K","-1.20%"
"10/13/2025","4,593.98","4,490.87","4,601.81","4,490.87","315.01K","-0.50%"
"10/10/2025","4,616.83","4,679.50","4,692.59","4,600.96","319.02K","-1.97%"
"10/09/2025","4,709.48","4,662.11","4,726.34","4,651.99","347.68K","1.48%"
"09/30/2025","4,640.69","4,629.90","4,647.50","4,616.22","247.98K","0.45%"
"09/29/2025","4,620.05","4,555.03","4,647.57","4,541.43","274.36K","1.54%"
