"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","87.16","87.68","87.91","87.13","36.50M","-0.80%"
"12/30/2025","87.86","87.74","88.04","87.67","25.11M","-0.24%"
"12/29/2025","88.07","87.95","88.07","87.79","29.40M","0.38%"
"12/26/2025","87.74","88.10","88.17","87.60","26.52M","-0.33%"
"12/25/2025","88.03","87.76","88.03","88.03","25.94M","0.00%"
"12/24/2025","88.03","87.76","88.08","87.65","25.94M","0.61%"
"12/23/2025","87.50","87.07","87.58","87.03","33.62M","0.16%"
"12/22/2025","87.36","87.42","87.46","87.25","25.55M","-0.22%"
"12/19/2025","87.55","87.61","87.76","87.41","37.86M","-0.76%"
"12/18/2025","88.22","88.13","88.38","88.07","39.05M","0.48%"
"12/17/2025","87.80","87.63","87.99","87.58","24.67M","-0.09%"
"12/16/2025","87.88","87.18","87.92","87.17","41.02M","0.55%"
"12/15/2025","87.40","87.71","87.88","87.39","28.61M","0.07%"
"12/12/2025","87.34","87.38","87.50","87.19","47.03M","-0.96%"
"12/11/2025","88.19","88.69","88.83","88.16","26.78M","-0.14%"
"12/10/2025","88.31","88.00","88.52","87.86","46.83M","0.39%"
"12/09/2025","87.97","88.34","88.35","87.84","25.77M","0.10%"
"12/08/2025","87.88","88.18","88.20","87.56","32.26M","-0.33%"
"12/05/2025","88.17","88.55","88.55","88.04","32.81M","-0.46%"
"12/04/2025","88.58","88.91","88.93","88.48","25.54M","-0.54%"
"12/03/2025","89.06","88.92","89.15","88.74","23.28M","0.28%"
"12/02/2025","88.81","88.57","88.96","88.46","27.61M","0.05%"
"12/01/2025","88.77","88.85","88.99","88.71","47.09M","-1.60%"
"11/28/2025","90.21","90.46","90.53","89.95","40.70M","-0.47%"
"11/26/2025","90.64","90.15","90.64","89.83","34.10M","0.44%"
"11/25/2025","90.24","90.31","90.59","90.13","36.50M","0.26%"
"11/24/2025","90.01","89.95","90.07","89.78","30.87M","0.57%"
"11/21/2025","89.50","89.65","89.67","89.19","41.94M","0.30%"
"11/20/2025","89.23","88.99","89.42","88.99","32.95M","0.39%"
"11/19/2025","88.88","89.22","89.31","88.85","25.78M","-0.20%"
"11/18/2025","89.06","89.35","89.45","88.80","31.97M","-0.03%"
"11/17/2025","89.09","89.08","89.30","88.98","25.61M","0.25%"
"11/14/2025","88.87","89.79","89.83","88.87","38.55M","-0.57%"
"11/13/2025","89.38","89.80","89.94","89.38","33.83M","-0.82%"
"11/12/2025","90.12","89.95","90.32","89.88","23.59M","0.18%"
"11/11/2025","89.96","89.95","90.07","89.78","18.94M","0.46%"
"11/10/2025","89.55","89.49","89.67","89.39","24.09M","-0.02%"
"11/07/2025","89.57","89.36","89.87","89.36","28.53M","-0.21%"
"11/06/2025","89.76","89.56","89.85","89.53","33.03M","0.90%"
"11/05/2025","88.96","89.51","89.54","88.88","44.64M","-1.09%"
"11/04/2025","89.94","89.78","90.06","89.74","26.38M","0.22%"
"11/03/2025","89.74","89.62","89.82","89.42","40.75M","-0.61%"
"10/31/2025","90.29","90.56","90.66","90.20","38.25M","-0.30%"
"10/30/2025","90.56","90.39","90.97","90.35","42.65M","-0.58%"
"10/29/2025","91.09","91.88","91.89","91.01","39.55M","-1.01%"
"10/28/2025","92.02","91.85","92.18","91.81","23.56M","0.26%"
"10/27/2025","91.78","91.32","91.79","91.09","30.03M","0.34%"
"10/24/2025","91.47","91.58","91.60","91.16","28.27M","0.04%"
"10/23/2025","91.43","91.61","91.79","91.29","28.28M","-0.68%"
"10/22/2025","92.06","91.99","92.18","91.82","30.50M","0.07%"
"10/21/2025","92.00","91.99","92.18","91.91","24.51M","0.49%"
"10/20/2025","91.55","91.46","91.56","91.28","28.43M","0.38%"
"10/17/2025","91.20","91.25","91.29","90.90","40.24M","-0.15%"
"10/16/2025","91.34","90.51","91.50","90.45","39.63M","0.75%"
"10/15/2025","90.66","90.96","91.30","90.47","31.33M","-0.22%"
"10/14/2025","90.86","90.65","90.92","90.43","29.80M","0.32%"
"10/13/2025","90.57","90.28","90.58","89.86","28.04M","-0.06%"
"10/10/2025","90.62","89.98","90.72","89.90","59.39M","1.61%"
"10/09/2025","89.18","89.17","89.29","89.00","21.58M","-0.08%"
"10/08/2025","89.25","89.60","89.61","89.13","22.51M","0.08%"
"10/07/2025","89.18","88.97","89.38","88.81","29.10M","0.58%"
"10/06/2025","88.67","88.71","89.15","88.65","28.37M","-0.79%"
"10/03/2025","89.38","89.63","89.72","89.27","25.88M","-0.19%"
"10/02/2025","89.55","89.31","89.69","89.19","23.21M","0.29%"
"10/01/2025","89.29","89.45","89.64","89.09","39.41M","-0.09%"
"09/30/2025","89.37","89.66","90.04","89.21","38.58M","-0.29%"
"09/29/2025","89.63","89.29","89.74","89.26","32.29M","0.82%"
"09/26/2025","88.90","88.99","89.47","88.69","30.96M","-0.09%"
"09/25/2025","88.98","88.85","89.03","88.46","29.88M","0.00%"
"09/24/2025","88.98","89.08","89.16","88.70","28.10M","-0.38%"
"09/23/2025","89.32","88.96","89.36","88.75","26.69M","0.70%"
"09/22/2025","88.70","88.82","88.91","88.54","24.76M","-0.36%"
"09/19/2025","89.02","89.07","89.22","88.79","32.51M","-0.19%"
"09/18/2025","89.19","89.26","89.47","88.90","55.72M","-1.03%"
"09/17/2025","90.12","90.71","91.04","89.87","49.12M","-0.25%"
"09/16/2025","90.35","90.09","90.50","90.04","26.79M","0.21%"
"09/15/2025","90.16","90.15","90.46","90.07","24.82M","0.23%"
"09/12/2025","89.95","89.83","89.98","89.49","32.97M","-0.43%"
"09/11/2025","90.34","89.91","90.48","89.90","46.69M","0.67%"
"09/10/2025","89.74","89.40","90.07","89.19","40.71M","0.57%"
"09/09/2025","89.23","89.40","89.55","88.99","37.13M","-0.57%"
"09/08/2025","89.74","89.17","89.75","89.12","54.54M","1.33%"
"09/05/2025","88.56","88.22","88.61","88.14","69.67M","1.52%"
"09/04/2025","87.23","87.02","87.24","86.58","40.50M","0.76%"
"09/03/2025","86.57","85.93","86.81","85.89","52.50M","1.10%"
"09/02/2025","85.63","85.63","85.84","85.48","48.76M","-1.12%"
"08/29/2025","86.60","86.76","86.86","86.44","41.69M","-0.71%"
"08/28/2025","87.22","86.78","87.26","86.66","32.21M","0.66%"
"08/27/2025","86.65","86.11","86.66","86.00","38.14M","-0.12%"
"08/26/2025","86.75","86.51","86.79","86.22","30.26M","-0.06%"
"08/25/2025","86.80","86.72","87.05","86.65","27.01M","-0.29%"
"08/22/2025","87.05","86.83","87.30","86.72","49.87M","0.74%"
"08/21/2025","86.41","86.56","86.68","86.11","28.64M","-0.50%"
"08/20/2025","86.84","86.59","86.96","86.56","25.91M","0.22%"
"08/19/2025","86.65","86.45","86.75","86.44","28.78M","0.58%"
"08/18/2025","86.15","86.50","86.54","85.99","26.78M","-0.29%"
"08/15/2025","86.40","86.66","86.78","86.25","36.34M","-0.71%"
"08/14/2025","87.02","87.51","87.51","86.89","33.40M","-0.74%"
"08/13/2025","87.67","87.44","87.81","87.43","30.82M","0.83%"
"08/12/2025","86.95","86.90","86.97","86.55","41.09M","-0.50%"
"08/11/2025","87.39","87.54","87.67","87.28","20.10M","0.11%"
"08/08/2025","87.29","87.36","87.39","87.15","21.60M","-0.43%"
"08/07/2025","87.67","87.92","88.25","87.59","29.21M","-0.17%"
"08/06/2025","87.82","87.84","88.04","86.92","42.59M","-0.58%"
"08/05/2025","88.33","87.85","88.45","87.78","28.59M","0.31%"
"08/04/2025","88.06","87.96","88.15","87.65","36.43M","0.27%"
"08/01/2025","87.82","87.56","87.93","87.51","63.43M","1.04%"
"07/31/2025","86.92","87.13","87.41","86.84","49.81M","0.06%"
"07/30/2025","86.87","86.77","86.96","86.56","40.67M","-0.52%"
"07/29/2025","87.32","86.23","87.34","86.20","47.83M","1.69%"
"07/28/2025","85.87","85.99","86.20","85.83","26.81M","-0.65%"
"07/25/2025","86.43","85.80","86.44","85.72","27.20M","0.63%"
"07/24/2025","85.89","85.55","86.24","85.51","25.16M","-0.17%"
"07/23/2025","86.04","86.05","86.20","85.79","31.01M","-0.55%"
"07/22/2025","86.52","86.17","86.77","86.11","35.19M","0.60%"
"07/21/2025","86.00","86.21","86.50","85.96","40.02M","0.89%"
"07/18/2025","85.24","85.43","85.46","85.10","27.53M","0.15%"
"07/17/2025","85.11","85.22","85.49","84.99","31.88M","-0.02%"
"07/16/2025","85.13","85.28","85.66","84.19","65.99M","0.14%"
"07/15/2025","85.01","85.89","85.91","84.90","40.45M","-0.70%"
"07/14/2025","85.61","85.54","85.88","85.32","24.61M","-0.21%"
"07/11/2025","85.79","86.23","86.27","85.64","40.76M","-1.38%"
"07/10/2025","86.99","86.83","87.06","86.49","24.53M","0.07%"
"07/09/2025","86.93","86.19","86.93","86.18","29.82M","1.05%"
"07/08/2025","86.03","85.57","86.04","85.44","31.41M","-0.13%"
"07/07/2025","86.14","86.54","86.56","85.92","38.31M","-0.95%"
"07/03/2025","86.97","87.17","87.29","86.85","26.73M","-0.70%"
"07/02/2025","87.58","87.19","87.59","87.10","39.38M","-0.64%"
"07/01/2025","88.14","88.13","88.31","87.66","38.96M","-0.12%"
"06/30/2025","88.25","87.86","88.43","87.61","53.70M","0.98%"
"06/27/2025","87.39","87.57","88.16","87.24","74.99M","-0.64%"
"06/26/2025","87.95","87.59","87.95","87.20","30.47M","0.50%"
"06/25/2025","87.51","87.11","87.51","86.80","26.35M","0.13%"
"06/24/2025","87.40","86.47","87.59","86.43","32.96M","0.73%"
"06/23/2025","86.77","86.93","87.44","86.77","36.85M","0.32%"
"06/20/2025","86.49","86.14","86.79","85.95","26.00M","-0.18%"
"06/18/2025","86.65","86.88","87.09","86.35","38.59M","0.17%"
"06/17/2025","86.50","86.00","86.66","85.75","34.52M","1.22%"
"06/16/2025","85.46","86.08","86.43","85.46","36.50M","-1.01%"
"06/13/2025","86.33","86.73","86.88","85.78","49.37M","-0.96%"
"06/12/2025","87.17","86.89","87.20","86.60","43.02M","1.20%"
"06/11/2025","86.14","85.81","86.40","85.71","36.33M","0.30%"
"06/10/2025","85.88","86.10","86.18","85.51","24.86M","0.51%"
"06/09/2025","85.44","85.04","85.64","85.04","26.56M","0.11%"
"06/06/2025","85.35","85.79","85.93","85.28","38.13M","-1.27%"
"06/05/2025","86.45","86.68","86.93","86.22","37.72M","0.07%"
"06/04/2025","86.39","85.79","86.65","85.64","57.44M","1.62%"
"06/03/2025","85.01","85.44","85.74","84.89","33.73M","-0.18%"
"06/02/2025","85.16","85.29","85.47","84.79","46.21M","-1.30%"
"05/30/2025","86.28","86.08","86.47","85.88","49.04M","0.15%"
"05/29/2025","86.15","85.77","86.26","85.64","39.00M","0.93%"
"05/28/2025","85.36","85.41","85.54","84.97","34.81M","-0.43%"
"05/27/2025","85.73","85.35","86.03","85.15","56.77M","1.40%"
"05/23/2025","84.55","84.77","84.82","84.31","47.14M","0.17%"
"05/22/2025","84.41","83.52","84.43","83.29","61.75M","0.52%"
"05/21/2025","83.97","84.68","85.06","83.76","77.05M","-1.71%"
"05/20/2025","85.43","85.43","85.60","85.06","35.49M","-0.72%"
"05/19/2025","86.05","84.91","86.12","84.83","49.36M","-0.29%"
"05/16/2025","86.30","86.87","86.89","86.19","31.78M","0.27%"
"05/15/2025","86.07","85.63","86.32","85.48","59.45M","0.88%"
"05/14/2025","85.32","85.75","85.87","85.20","42.12M","-0.66%"
"05/13/2025","85.89","86.13","86.29","85.50","53.91M","-0.41%"
"05/12/2025","86.24","86.38","86.78","86.19","32.12M","-0.93%"
"05/09/2025","87.05","87.00","87.31","86.92","17.01M","0.15%"
"05/08/2025","86.92","88.01","88.06","86.89","25.48M","-1.11%"
"05/07/2025","87.90","87.92","88.21","87.82","23.18M","0.42%"
"05/06/2025","87.53","86.80","87.53","86.64","21.10M","0.33%"
"05/05/2025","87.24","87.35","87.40","86.83","22.86M","-0.56%"
"05/02/2025","87.73","87.71","88.07","87.54","32.09M","-1.08%"
"05/01/2025","88.69","89.26","89.28","88.30","29.93M","-0.87%"
"04/30/2025","89.47","89.78","90.05","89.33","42.63M","-0.81%"
"04/29/2025","90.20","89.32","90.21","89.29","22.13M","0.84%"
"04/28/2025","89.45","88.65","89.53","88.61","20.13M","0.63%"
"04/25/2025","88.89","88.90","89.11","88.60","22.51M","0.74%"
"04/24/2025","88.24","88.03","88.35","87.76","24.19M","1.05%"
"04/23/2025","87.32","88.88","89.06","87.17","44.08M","0.97%"
"04/22/2025","86.48","86.82","87.02","86.40","32.55M","0.56%"
"04/21/2025","86.00","86.60","87.07","85.98","39.34M","-1.75%"
"04/17/2025","87.53","88.04","88.20","87.23","31.76M","-0.88%"
"04/16/2025","88.31","87.80","88.50","87.47","35.61M","0.56%"
"04/15/2025","87.82","87.15","88.18","87.04","22.55M","0.35%"
"04/14/2025","87.51","87.40","87.71","86.82","37.60M","0.71%"
"04/11/2025","86.89","85.87","87.30","85.00","94.81M","0.54%"
"04/10/2025","86.42","87.74","88.18","86.35","78.59M","-2.76%"
"04/09/2025","88.87","87.27","88.91","85.89","131.35M","0.59%"
"04/08/2025","88.35","89.28","90.20","88.22","73.86M","-1.89%"
"04/07/2025","90.05","91.88","92.19","89.79","124.99M","-3.02%"
"04/04/2025","92.85","93.65","94.09","92.82","92.79M","1.09%"
"04/03/2025","91.85","92.52","92.73","91.84","57.47M","0.46%"
"04/02/2025","91.43","92.37","92.37","90.66","43.49M","-0.07%"
"04/01/2025","91.49","91.25","91.90","91.21","39.80M","0.51%"
"03/31/2025","91.03","91.23","91.33","90.36","38.82M","0.99%"
"03/28/2025","90.14","89.88","90.34","89.81","39.87M","1.38%"
"03/27/2025","88.91","88.85","89.03","88.63","23.67M","-0.29%"
"03/26/2025","89.17","89.39","89.60","89.09","25.17M","-0.66%"
"03/25/2025","89.76","89.57","90.08","89.51","22.33M","-0.01%"
"03/24/2025","89.77","90.20","90.25","89.70","27.99M","-1.03%"
"03/21/2025","90.70","91.33","91.43","90.62","29.19M","-0.59%"
"03/20/2025","91.24","92.20","92.24","91.15","35.65M","0.07%"
"03/19/2025","91.18","90.68","91.22","90.38","31.38M","0.52%"
"03/18/2025","90.71","90.14","91.02","90.12","23.65M","0.10%"
"03/17/2025","90.62","90.80","91.18","90.38","26.70M","0.50%"
"03/14/2025","90.17","90.01","90.41","89.86","24.66M","-0.53%"
"03/13/2025","90.65","89.58","90.71","89.38","38.68M","0.88%"
"03/12/2025","89.86","90.00","90.38","89.78","32.73M","-0.60%"
"03/11/2025","90.40","90.96","91.49","90.14","40.56M","-0.71%"
"03/10/2025","91.05","91.08","91.63","90.91","41.44M","1.04%"
"03/07/2025","90.11","91.14","91.16","89.99","36.90M","-0.32%"
"03/06/2025","90.40","90.48","90.80","89.73","42.83M","-0.33%"
